Date,Market,Direction (Long/Short),Account_Equity,Risk_%,Risk_$,Entry,Stop,Stop_Distance,Take_Profit (optional),R_multiple (optional),Notes
2025-10-15,AAPL,Long,1000,0.01,"=ROUND(D2*E2,2)",100,95,=ABS(G2-H2),110,"=IF(OR(I2=0,ISBLANK(I2)),"""",ROUND(ABS(I2-G2)/I2,2))","Example: 1% risk = $10, stop $5 → size ≈ 2 units; TP gives ~2R"
,,,,,"=ROUND(D3*E3,2)",,,=ABS(G3-H3),,"=IF(OR(I3=0,ISBLANK(I3)),"""",ROUND(ABS(I3-G3)/I3,2))",
,,,,,"=ROUND(D4*E4,2)",,,=ABS(G4-H4),,"=IF(OR(I4=0,ISBLANK(I4)),"""",ROUND(ABS(I4-G4)/I4,2))",
,,,,,"=ROUND(D5*E5,2)",,,=ABS(G5-H5),,"=IF(OR(I5=0,ISBLANK(I5)),"""",ROUND(ABS(I5-G5)/I5,2))",
,,,,,"=ROUND(D6*E6,2)",,,=ABS(G6-H6),,"=IF(OR(I6=0,ISBLANK(I6)),"""",ROUND(ABS(I6-G6)/I6,2))",
,,,,,"=ROUND(D7*E7,2)",,,=ABS(G7-H7),,"=IF(OR(I7=0,ISBLANK(I7)),"""",ROUND(ABS(I7-G7)/I7,2))",
,,,,,"=ROUND(D8*E8,2)",,,=ABS(G8-H8),,"=IF(OR(I8=0,ISBLANK(I8)),"""",ROUND(ABS(I8-G8)/I8,2))",
,,,,,"=ROUND(D9*E9,2)",,,=ABS(G9-H9),,"=IF(OR(I9=0,ISBLANK(I9)),"""",ROUND(ABS(I9-G9)/I9,2))",
,,,,,"=ROUND(D10*E10,2)",,,=ABS(G10-H10),,"=IF(OR(I10=0,ISBLANK(I10)),"""",ROUND(ABS(I10-G10)/I10,2))",
,,,,,"=ROUND(D11*E11,2)",,,=ABS(G11-H11),,"=IF(OR(I11=0,ISBLANK(I11)),"""",ROUND(ABS(I11-G11)/I11,2))",
,,,,,"=ROUND(D12*E12,2)",,,=ABS(G12-H12),,"=IF(OR(I12=0,ISBLANK(I12)),"""",ROUND(ABS(I12-G12)/I12,2))",
,,,,,"=ROUND(D13*E13,2)",,,=ABS(G13-H13),,"=IF(OR(I13=0,ISBLANK(I13)),"""",ROUND(ABS(I13-G13)/I13,2))",
,,,,,"=ROUND(D14*E14,2)",,,=ABS(G14-H14),,"=IF(OR(I14=0,ISBLANK(I14)),"""",ROUND(ABS(I14-G14)/I14,2))",
,,,,,"=ROUND(D15*E15,2)",,,=ABS(G15-H15),,"=IF(OR(I15=0,ISBLANK(I15)),"""",ROUND(ABS(I15-G15)/I15,2))",
,,,,,"=ROUND(D16*E16,2)",,,=ABS(G16-H16),,"=IF(OR(I16=0,ISBLANK(I16)),"""",ROUND(ABS(I16-G16)/I16,2))",
,,,,,"=ROUND(D17*E17,2)",,,=ABS(G17-H17),,"=IF(OR(I17=0,ISBLANK(I17)),"""",ROUND(ABS(I17-G17)/I17,2))",
,,,,,"=ROUND(D18*E18,2)",,,=ABS(G18-H18),,"=IF(OR(I18=0,ISBLANK(I18)),"""",ROUND(ABS(I18-G18)/I18,2))",
,,,,,"=ROUND(D19*E19,2)",,,=ABS(G19-H19),,"=IF(OR(I19=0,ISBLANK(I19)),"""",ROUND(ABS(I19-G19)/I19,2))",
,,,,,"=ROUND(D20*E20,2)",,,=ABS(G20-H20),,"=IF(OR(I20=0,ISBLANK(I20)),"""",ROUND(ABS(I20-G20)/I20,2))",
,,,,,"=ROUND(D21*E21,2)",,,=ABS(G21-H21),,"=IF(OR(I21=0,ISBLANK(I21)),"""",ROUND(ABS(I21-G21)/I21,2))",
,,,,,"=ROUND(D22*E22,2)",,,=ABS(G22-H22),,"=IF(OR(I22=0,ISBLANK(I22)),"""",ROUND(ABS(I22-G22)/I22,2))",
